trt;rep;day;index
3;1;21;0,166666667
3;1;22;0,166666667
3;1;23;0,166666667
3;1;24;0,166666667
3;1;25;0,166666667
3;2;9;0
3;2;10;0
3;2;11;0
3;2;12;0
3;2;13;0
3;2;14;0
3;2;15;0
3;2;16;0,041666667
3;2;17;0,125
3;2;18;0,166666667
3;2;19;0,25
3;2;20;0,25
3;2;21;0,291666667
3;2;22;0,333333333
3;2;23;0,333333333
3;2;24;0,333333333
3;2;25;0,333333333
3;3;9;0
3;3;10;0
3;3;11;0,083333333
3;3;12;0,125
3;3;13;0,166666667
3;3;14;0,25
3;3;15;0,291666667
3;3;16;0,291666667
3;3;17;0,333333333
3;3;18;0,333333333
3;3;19;0,333333333
3;3;20;0,333333333
3;3;21;0,333333333
3;3;22;0,333333333
3;3;23;0,333333333
3;3;24;0,333333333
3;3;25;0,333333333
3;4;9;0
3;4;10;0
3;4;11;0
3;4;12;0
3;4;13;0,083333333
3;4;14;0,166666667
3;4;15;0,25
3;4;16;0,333333333
3;4;17;0,333333333
3;4;18;0,333333333
3;4;19;0,333333333
3;4;20;0,333333333
3;4;21;0,333333333
3;4;22;0,333333333
3;4;23;0,333333333
3;4;24;0,333333333
3;4;25;0,333333333
